TOTAL_SECONDS,SNIPPETS,through_put_rows,through_put_size
1,2,1,24
3,5,0,0
26,3,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
2,3,7162,429690
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,8
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1833,36660
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
2,1,1,10
1,1,1,28
1,2,1,24
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,22028,1677500
0,1,0,0
0,1,0,0
1,1,1995,39900
0,1,0,0
1,1,1,12
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
2,10,28147,1795234
3,6,0,0
0,2,0,0
0,2,0,0
1,2,0,0
0,1,0,0
0,1,0,0
1,1,284,5680
0,1,0,0
0,1,0,0
0,3,0,0
0,5,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,20
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,2,0,0
1,1,1,28
0,1,0,0
0,1,0,0
0,1,0,0
72,9,125254,21792919
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,20
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,16
1,5,1,8
0,1,0,0
0,1,0,0
129,1,25059,6981476
21,1,66732,33372611
1,1,1,8
0,1,0,0
1,1,1,88
1,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,0,0
1,1,1,20
0,1,0,0
7,1,0,2
1,1,1,8
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
1,1,1,8
0,1,0,0
0,2,0,0
